seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,positive_probability_mean,negative_probability_mean,positive_negative_gap,mean_delta_c26sm,std_delta_c26sm,mean_positive_delta_c26sm,mean_negative_delta_c26sm,fraction_positive_delta_below_minus_0_10,fraction_delta_near_positive_bound,fraction_delta_near_negative_bound,node_weight_entropy,fraction_node_weight_max_above_0_90,mechanism_core_norm,mechanism_final_norm,pairwise_inversion_count,n_rows,relation_gate_image_morphology,relation_gate_text_morphology,relation_gate_bio_immune,relation_gate_bio_function,relation_gate_text_opposition,relation_gate_text_temporal,mean_node_weight_M1,mean_node_weight_M2,mean_node_weight_M3,mean_node_weight_M4,mean_node_weight_M5
0,val,14,0.8736985061113626,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.6056525584389555,0.2566437172564737,0.3490088411824817,0.2757575484587157,0.3661037931890052,0.4245416254122206,0.1269734715052107,0.0425531914893617,0.5638297872340425,0.1063829787234042,1.033415642458064,0.0638297872340425,11.960928156020794,16.042327373585803,279,94,0.4982003271579742,0.5018015503883362,0.5,0.5,0.5,0.5,0.0815455057668162,0.0817828604832608,0.0924984537253275,0.2404252658499048,0.5037479135108754
42,val,1,0.876414667270258,0.8297872340425532,0.8085106382978723,0.8191489361702127,38,9,8,39,0.6991783117360257,0.2989050472908197,0.400273264445206,-0.0654724171345538,0.0564650167220264,-0.082587750866375,-0.0483570834027325,0.2978723404255319,0.0,0.0,1.5871886195011344,0.0,7.22057465796775,16.03533523640734,273,94,0.4996480941772461,0.5003516674041748,0.5,0.5,0.5,0.5,0.1680374965071678,0.220059704431828,0.2057722015900814,0.2594827113950506,0.1466478881366709
3407,val,6,0.8605703938433681,0.7659574468085106,0.7872340425531915,0.7765957446808511,37,10,11,36,0.6235025974505759,0.2986676000217174,0.3248349974288585,0.3065541107702921,0.279487172217586,0.2152939239279069,0.3978142976126772,0.2340425531914893,0.0,0.0,1.3503068112848131,0.0,5.41291754803759,16.021973741815444,308,94,0.498673677444458,0.501326858997345,0.5,0.5,0.5,0.5,0.0724722497323726,0.4668292162266183,0.084480224533918,0.1888325647153753,0.1873857397982414
0,test,14,0.8418367346938775,0.7380952380952381,0.7619047619047619,0.75,32,10,11,31,0.623983278515793,0.3009549531243032,0.3230283253914898,0.2869395905928242,0.3837632321445079,0.4144579966862996,0.1594211844993489,0.0952380952380952,0.6547619047619048,0.0595238095238095,1.1345229740446658,0.0595238095238095,11.600989148730324,16.04626410348075,279,84,0.4982003271579742,0.501801609992981,0.5,0.5,0.5,0.5,0.0957692329040063,0.0540692374010437,0.1066223243473186,0.2502942253569407,0.4932449688425376
42,test,1,0.8418367346938775,0.8095238095238095,0.7142857142857143,0.7619047619047619,30,12,8,34,0.7182679811403865,0.3296732913835772,0.3885946897568092,-0.0833167818131014,0.0697283282463093,-0.1061312009447387,-0.060502362681464,0.4523809523809524,0.0,0.0,1.5872627067564071,0.0,7.174606022380647,16.0326923869905,279,84,0.4996480941772461,0.50035160779953,0.5,0.5,0.5,0.5,0.1676443545591263,0.2205184855986209,0.2064115195756866,0.2586019448935985,0.1468236987434682
3407,test,6,0.8390022675736961,0.7619047619047619,0.7142857142857143,0.7380952380952381,30,12,10,32,0.6458200769765037,0.3348992302836406,0.310920846692863,0.2375032296404242,0.3335703779571533,0.1100253012652198,0.3649811580156286,0.3809523809523809,0.0,0.0,1.3430437250403415,0.0,5.34117864710944,16.02611069452195,284,84,0.4986737072467804,0.501326858997345,0.5,0.5,0.5,0.5,0.0714039049953931,0.4733620335658391,0.0840319438527027,0.1863510156316416,0.1848511012004954
