seed,mean_delta,std_delta,min_delta,max_delta,fraction_near_negative_bound,fraction_near_positive_bound,nonzero_variance
0,0.2757575484587157,0.3661037931890052,-0.4995807707309723,0.49998939037323,0.10638297872340426,0.5638297872340425,True
42,-0.06547241713455379,0.05646501672202649,-0.2074005156755447,-0.0106281554326415,0.0,0.0,True
3407,0.3065541107702921,0.27948717221758607,-0.3855673968791961,0.4901436567306518,0.0,0.0,True
