seed,variant,group_family,group,patient_count,positive_count,negative_count,validation_auc,positive_recall,mean_probability_change_vs_official,c17_tp_to_variant_fn,c17_fn_to_variant_tp,variant_inversions_within_group,official_inversions_within_group,strong_inference_allowed
42,V4_latest_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8636363636363635,0.9090909090909091,0.051525278507094645,0.0,0.0,12.0,5.0,True
42,V4_latest_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,-0.30843777225042385,1.0,0.0,1.0,1.0,False
42,V4_latest_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8370927318295739,0.8421052631578947,0.08725455990061164,1.0,2.0,65.0,85.0,True
42,V5_history_mean_only,conflict_group,single_visit,0,,,,,,,,,,
42,V5_history_mean_only,conflict_group,multi_visit_low_conflict,35,9.0,26.0,0.7307692307692307,0.2222222222222222,-0.059087960714740415,4.0,1.0,63.0,47.0,True
42,V5_history_mean_only,conflict_group,multi_visit_medium_conflict,27,22.0,5.0,0.8363636363636364,0.09090909090909091,-0.32404894450748406,19.0,0.0,18.0,15.0,True
42,V5_history_mean_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
42,V5_history_mean_only,text_evidence_group,single_visit,0,,,,,,,,,,
42,V5_history_mean_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.7727272727272727,0.18181818181818182,-0.24055047029335247,8.0,0.0,20.0,5.0,True
42,V5_history_mean_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,1.0,0.2899994850158691,0.0,0.0,1.0,1.0,False
42,V5_history_mean_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.6040100250626567,0.05263157894736842,-0.1779234911547974,15.0,1.0,158.0,85.0,True
3407,V0_official,conflict_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V0_official,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7818930041152263,0.5555555555555556,0.0,2.0,2.0,53.0,53.0,True
3407,V0_official,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.625,0.8636363636363636,0.0,1.0,1.0,33.0,33.0,True
3407,V0_official,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V0_official,text_evidence_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V0_official,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8977272727272727,0.7272727272727273,0.0,2.0,0.0,9.0,9.0,True
3407,V0_official,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,False
3407,V0_official,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8421052631578947,0.8421052631578947,0.0,0.0,3.0,63.0,63.0,True
3407,V1_uniform,conflict_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V1_uniform,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7818930041152263,0.4444444444444444,-0.02908699302416708,3.0,2.0,53.0,53.0,True
3407,V1_uniform,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.6363636363636364,0.6818181818181818,-0.16076116607739374,4.0,0.0,32.0,33.0,True
3407,V1_uniform,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V1_uniform,text_evidence_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V1_uniform,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8863636363636364,0.7272727272727273,-0.057744345578708146,2.0,0.0,10.0,9.0,True
3407,V1_uniform,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,0.056314357245961864,1.0,0.0,1.0,1.0,False
3407,V1_uniform,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.7894736842105263,0.5789473684210527,-0.10746806431561709,4.0,2.0,84.0,63.0,True
3407,V2_recency_only,conflict_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V2_recency_only,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7530864197530864,0.4444444444444444,-0.031099586902807157,3.0,2.0,60.0,53.0,True
3407,V2_recency_only,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.6022727272727273,0.7727272727272727,-0.08703037236745541,2.0,0.0,35.0,33.0,True
3407,V2_recency_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V2_recency_only,text_evidence_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V2_recency_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8977272727272727,0.7272727272727273,-0.032006310593140755,2.0,0.0,9.0,9.0,True
3407,V2_recency_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,-0.01672949331502117,1.0,0.0,1.0,1.0,False
3407,V2_recency_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8170426065162907,0.6842105263157895,-0.06810166072100401,2.0,2.0,73.0,63.0,True
3407,V3_content_only,conflict_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V3_content_only,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7942386831275721,0.5555555555555556,0.0061178716003067075,2.0,2.0,50.0,53.0,True
3407,V3_content_only,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.6363636363636364,0.8181818181818182,-0.049589964059683,2.0,1.0,32.0,33.0,True
3407,V3_content_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V3_content_only,text_evidence_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V3_content_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8863636363636364,0.7272727272727273,-0.02031181752681731,2.0,0.0,10.0,9.0,True
3407,V3_content_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,0.08113991593321165,1.0,0.0,1.0,1.0,False
3407,V3_content_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8295739348370927,0.7894736842105263,-0.023164772568270563,1.0,3.0,68.0,63.0,True
3407,V4_latest_only,conflict_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V4_latest_only,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7325102880658436,0.5555555555555556,0.0023520862838874324,2.0,2.0,65.0,53.0,True
3407,V4_latest_only,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.6136363636363636,0.9545454545454546,0.07897250354290006,0.0,2.0,34.0,33.0,True
3407,V4_latest_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V4_latest_only,text_evidence_group,single_visit,32,16.0,16.0,0.91796875,0.875,0.0,1.0,2.0,21.0,21.0,True
3407,V4_latest_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8636363636363635,0.8181818181818182,0.047341533691475264,1.0,0.0,12.0,9.0,True
3407,V4_latest_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,-0.06080947474886974,1.0,0.0,1.0,1.0,False
3407,V4_latest_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.844611528822055,0.8947368421052632,0.035522487061098215,0.0,4.0,62.0,63.0,True
3407,V5_history_mean_only,conflict_group,single_visit,0,,,,,,,,,,
3407,V5_history_mean_only,conflict_group,multi_visit_low_conflict,36,9.0,27.0,0.7325102880658436,0.3333333333333333,0.005161957453108501,3.0,1.0,65.0,53.0,True
3407,V5_history_mean_only,conflict_group,multi_visit_medium_conflict,26,22.0,4.0,0.7272727272727273,0.09090909090909091,-0.46195408071462923,17.0,0.0,24.0,33.0,True
3407,V5_history_mean_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
3407,V5_history_mean_only,text_evidence_group,single_visit,0,,,,,,,,,,
3407,V5_history_mean_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.7840909090909091,0.18181818181818182,-0.2149934494181683,8.0,0.0,19.0,9.0,True
3407,V5_history_mean_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,1.0,0.477805536861221,0.0,0.0,1.0,1.0,False
3407,V5_history_mean_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.6090225563909775,0.10526315789473684,-0.229337917547673,12.0,1.0,156.0,63.0,True
