variant,seed_count,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,positive_probability_mean_mean,positive_probability_mean_std,negative_probability_mean_mean,negative_probability_mean_std,positive_negative_probability_gap_mean,positive_negative_probability_gap_std,mean_positive_probability_difference_vs_c17_mean,mean_positive_probability_difference_vs_c17_std,pairwise_inversion_count_mean,pairwise_inversion_count_std,c17_tp_to_variant_fn_aggregate,c17_fn_to_variant_tp_aggregate,c17_tn_to_variant_fp_aggregate,c17_fp_to_variant_tn_aggregate,material_positive_damage_count_aggregate,severe_positive_damage_count_aggregate,patient_count_per_seed
V0_official,3,0.8822996831145314,0.01689584210640242,0.7943262411347517,0.06500107368731685,0.8014184397163121,0.05354492507284222,0.797872340425532,0.010638297872340385,0.6895132257688976,0.03661277787180703,0.2606894362598975,0.009787950680227654,0.4288237895090001,0.027504706403690092,0.027532740159237633,0.09399026009233596,260.0,37.322915213043046,17,16,9,11,42,35,94/94/94
V1_uniform,3,0.8569488456315074,0.0029685099702589637,0.6879432624113475,0.024568096561260706,0.8439716312056738,0.012284048280630353,0.7659574468085107,0.010638297872340496,0.6158205031397496,0.026646731780233555,0.23794257538459193,0.010188353603006375,0.37787792775515755,0.018430790580994956,-0.04615998246991043,0.07538406697893534,316.0,6.557438524302,27,11,7,15,60,51,94/94/94
V2_recency_only,3,0.8687188773200543,0.008813002414636464,0.7588652482269503,0.044290765946087884,0.8226950354609929,0.05354492507284222,0.7907801418439716,0.0061420241403152085,0.6516721523135689,0.03342811293406485,0.2395912866563873,0.013133710126481958,0.41208086565718166,0.02264579131411855,-0.010308333296090997,0.08448963575091119,290.0,19.467922333931785,18,12,8,13,52,41,94/94/94
V3_content_only,3,0.8666063075298024,0.012416792863842209,0.7446808510638298,0.05629258108648067,0.7872340425531915,0.06382978723404253,0.7659574468085107,0.021276595744680826,0.6620816527634648,0.03356217415578255,0.26013406452636983,0.007364109374883634,0.40194758823709503,0.02736326472780816,0.00010116715380485812,0.09186507264094197,294.6666666666667,27.42869543622761,24,16,11,11,56,44,94/94/94
V4_latest_only,3,0.8664554096876413,0.0035931434736051417,0.8652482269503546,0.024568096561260643,0.7943262411347517,0.04429076594608793,0.8297872340425533,0.010638297872340496,0.7444867305919951,0.03208922557299094,0.2696356076040431,0.01936311996057513,0.474851122987952,0.017823168385005982,0.08250624498233516,0.08122777696704829,295.0,7.937253933193772,8,17,8,9,29,25,94/94/94
V5_history_mean_only,3,0.6677072493929934,0.010423155880205835,0.18279569892473116,0.06715051611181073,0.8709677419354839,0.032258064516129004,0.5268817204301075,0.04656050557980849,0.32413142446869164,0.032917064984318394,0.22824301698835947,0.0033560028203049306,0.09588840748033216,0.035782822568367,-0.3139096182039989,0.08601829747503748,319.3333333333333,10.016652800877813,59,4,6,17,79,75,62/62/62
