seed,visit_count_stratum,mechanism,patient_count,patient_slot_count,actual_latest_weight_mean,baseline_latest_weight_mean,latest_weight_excess_mean,latest_weight_ratio_mean,latest_weight_log_ratio_mean
0,V=1,ALL,32,160,1.0,1.0,0.0,1.0,0.0
0,V=1,M1,32,32,1.0,1.0,0.0,1.0,0.0
0,V=1,M2,32,32,1.0,1.0,0.0,1.0,0.0
0,V=1,M3,32,32,1.0,1.0,0.0,1.0,0.0
0,V=1,M4,32,32,1.0,1.0,0.0,1.0,0.0
0,V=1,M5,32,32,1.0,1.0,0.0,1.0,0.0
0,V=2,ALL,28,140,0.6218390465847083,0.6666666865348816,-0.04482763995017324,0.9327585420786917,-0.1491443748606924
0,V=2,M1,28,28,0.6463162718074662,0.6666666865348816,-0.02035041472741534,0.9694743788186114,-0.046584192179327175
0,V=2,M2,28,28,0.659354071531977,0.6666666865348816,-0.007312615002904618,0.9890310778225423,-0.011574230929145318
0,V=2,M3,28,28,0.6663830535752433,0.6666666865348816,-0.00028363295963832494,0.9995745505732219,-0.0004318745888352359
0,V=2,M4,28,28,0.6187963214303766,0.6666666865348816,-0.04787036510450501,0.9281944544832144,-0.2874044057502444
0,V=2,M5,28,28,0.5183455145784787,0.6666666865348816,-0.1483211719564029,0.7775182486958683,-0.39972717085591014
0,V=3,ALL,16,80,0.448862973973155,0.4530818164348601,-0.004218842461705197,0.990688563723652,-0.07351358140299388
0,V=3,M1,16,16,0.4318817015737295,0.4530818164348602,-0.021200114861130687,0.9532090803644541,-0.06209810707522138
0,V=3,M2,16,16,0.450166342779994,0.4530818164348602,-0.002915473654866218,0.9935652380009266,-0.007932431391665076
0,V=3,M3,16,16,0.453240767121315,0.4530818164348602,0.00015895068645478092,1.0003508211556702,0.0003480524400414814
0,V=3,M4,16,16,0.4671293506398797,0.4530818164348602,0.014047534205019464,1.0310044095690145,-0.18642456162753393
0,V=3,M5,16,16,0.4418967077508569,0.4530818164348602,-0.01118510868400334,0.9753132695281947,-0.11146085936059058
0,V>=4,ALL,18,90,0.3214626957558923,0.3019659419854482,0.019496753770444127,1.066050273702533,-0.08771176149239965
0,V>=4,M1,18,18,0.32502137621243793,0.3019659419854482,0.023055434226989757,1.0799936499247387,0.041664850636940844
0,V>=4,M2,18,18,0.30047837396462757,0.3019659419854482,-0.0014875680208206335,0.994213465423375,-0.008444098120948863
0,V>=4,M3,18,18,0.3017225091656049,0.3019659419854482,-0.0002434328198432917,0.9992448522518065,-0.0007594730637965849
0,V>=4,M4,18,18,0.3747382497207986,0.3019659419854482,0.0727723077353504,1.2323164063863912,-0.0975343145097951
0,V>=4,M5,18,18,0.30535296971599263,0.3019659419854482,0.0033870277305444066,1.024482994526354,-0.3734857724043985
42,V=1,ALL,32,160,1.0,1.0,0.0,1.0,0.0
42,V=1,M1,32,32,1.0,1.0,0.0,1.0,0.0
42,V=1,M2,32,32,1.0,1.0,0.0,1.0,0.0
42,V=1,M3,32,32,1.0,1.0,0.0,1.0,0.0
42,V=1,M4,32,32,1.0,1.0,0.0,1.0,0.0
42,V=1,M5,32,32,1.0,1.0,0.0,1.0,0.0
42,V=2,ALL,28,140,0.6193597746746881,0.6666666865348816,-0.04730691186019353,0.9290396343244934,-0.08967769736157376
42,V=2,M1,28,28,0.5705504917672702,0.6666666865348816,-0.09611619476761134,0.8558257121453117,-0.18733026313001783
42,V=2,M2,28,28,0.6478994520647186,0.6666666865348816,-0.01876723447016307,0.971849149133716,-0.03268936818060409
42,V=2,M3,28,28,0.6678583728415626,0.6666666865348816,0.0011916863066809356,1.0017875294067489,0.0017633756702830996
42,V=2,M4,28,28,0.5956921502947807,0.6666666865348816,-0.07097453624010085,0.8935381988126576,-0.12997384110796048
42,V=2,M5,28,28,0.6147984064051083,0.6666666865348816,-0.05186828012977326,0.9221975821240328,-0.10015839005956947
42,V=3,ALL,16,80,0.4203610299155116,0.4530818164348601,-0.03272078651934861,0.9277817265393328,-0.10496362021248365
42,V=3,M1,16,16,0.33326967153698206,0.4530818164348602,-0.11981214489787813,0.7355617891694763,-0.36972490296578076
42,V=3,M2,16,16,0.44523349218070507,0.4530818164348602,-0.007848324254155162,0.9826779094426901,-0.02652287133948816
42,V=3,M3,16,16,0.45252119936048985,0.4530818164348602,-0.0005606170743703812,0.9987626581910047,-0.0012772520552407813
42,V=3,M4,16,16,0.4364041145890951,0.4530818164348602,-0.016677701845765107,0.9631905293021996,-0.06463239650770922
42,V=3,M5,16,16,0.43437667191028595,0.4530818164348602,-0.018705144524574273,0.9587157465912924,-0.06266067819419938
42,V>=4,ALL,18,90,0.313215381734901,0.3019659419854482,0.011249439749452795,1.041897117191206,0.00038351301651134734
42,V>=4,M1,18,18,0.29164612458811867,0.3019659419854482,-0.010319817397329543,0.9835723822124165,-0.09311616637109685
42,V>=4,M2,18,18,0.2983936568101247,0.3019659419854482,-0.003572285175323498,0.9863558192766858,-0.02875962432603359
42,V>=4,M3,18,18,0.3027136367228296,0.3019659419854482,0.000747694737381401,1.0025480109412308,0.0025012438786420036
42,V>=4,M4,18,18,0.3287125445074505,0.3019659419854482,0.026746602522002318,1.0942014141809198,0.03640903037189501
42,V>=4,M5,18,18,0.3446109460459815,0.3019659419854482,0.042645004060533294,1.1428079593447764,0.08488308152915014
3407,V=1,ALL,32,160,1.0,1.0,0.0,1.0,0.0
3407,V=1,M1,32,32,1.0,1.0,0.0,1.0,0.0
3407,V=1,M2,32,32,1.0,1.0,0.0,1.0,0.0
3407,V=1,M3,32,32,1.0,1.0,0.0,1.0,0.0
3407,V=1,M4,32,32,1.0,1.0,0.0,1.0,0.0
3407,V=1,M5,32,32,1.0,1.0,0.0,1.0,0.0
3407,V=2,ALL,28,140,0.6665484751973834,0.6666666865348816,-0.00011821133749826407,0.999822682999037,-0.02000003900939361
3407,V=2,M1,28,28,0.6324870171291488,0.6666666865348816,-0.03417966940573284,0.9487304974193511,-0.10622744557789358
3407,V=2,M2,28,28,0.675962820649147,0.6666666865348816,0.009296134114265437,1.0139442007558286,0.013115459599771192
3407,V=2,M3,28,28,0.6680896984679359,0.6666666865348816,0.0014230119330542288,1.0021345178359677,0.0020978820697459748
3407,V=2,M4,28,28,0.6591013648680278,0.6666666865348816,-0.007565321666853773,0.9886520178379158,-0.03204508307265962
3407,V=2,M5,28,28,0.6971014748726573,0.6666666865348816,0.030434788337775635,1.0456521811461224,0.02305899193406796
3407,V=3,ALL,16,80,0.47556881746277213,0.4530818164348601,0.022487001027911898,1.0496312149643394,-0.002525179324119285
3407,V=3,M1,16,16,0.36602577520534396,0.4530818164348602,-0.08705604122951625,0.8078580113531606,-0.35393833317370627
3407,V=3,M2,16,16,0.45619194582104683,0.4530818164348602,0.0031101293861865993,1.0068643880053698,0.003711373621960061
3407,V=3,M3,16,16,0.4523662328720093,0.4530818164348602,-0.0007155835628509437,0.9984206305861454,-0.0016448954394446063
3407,V=3,M4,16,16,0.534112049266696,0.4530818164348602,0.08103023283183575,1.1788423853983678,0.1341360132193617
3407,V=3,M5,16,16,0.5691480841487646,0.4530818164348602,0.11606626771390434,1.2561706594786535,0.20510994515123268
3407,V>=4,ALL,18,90,0.33947212174534797,0.3019659419854482,0.03750617975989977,1.1435959905965878,0.08466762781874845
3407,V>=4,M1,18,18,0.3157808925542567,0.3019659419854482,0.013814950568808453,1.1029300211942028,-0.032965814689942176
3407,V>=4,M2,18,18,0.3039642357163959,0.3019659419854482,0.001998293730947712,1.0081636247151993,0.0015778136580795689
3407,V>=4,M3,18,18,0.30293451580736375,0.3019659419854482,0.0009685738219155136,1.0032944317168677,0.0032179816643052774
3407,V>=4,M4,18,18,0.3769141501850552,0.3019659419854482,0.07494820819960699,1.2695563066591853,0.1969073109787387
3407,V>=4,M5,18,18,0.3977668144636684,0.3019659419854482,0.09580087247822018,1.3340355686974834,0.2546008474825609
