seed,checkpoint_path,best_epoch,patient_count,positive_count,negative_count,patient_id_alignment,label_alignment,max_abs_logit_error,max_abs_probability_error,validation_auc,saved_validation_auc,abs_auc_error,threshold_prediction_mismatch_count,max_abs_latest_weight_error,max_abs_full_temporal_weight_formula_error,max_abs_v0_counterfactual_logit_error,checkpoint_state_unchanged
0,/home/linruixin/chen/project/DMEA-HT/runs/dema_ht_c27_vtme_multiseed/checkpoints/seed_0_best.pt,17,94,47,47,True,True,8.881784197001252e-16,1.1102230246251565e-16,0.901765504753282,0.901765504753282,0.0,0,1.1102230246251565e-16,0.0,0.0,True
42,/home/linruixin/chen/project/DMEA-HT/runs/dema_ht_c27_vtme_multiseed/checkpoints/seed_42_best.pt,11,94,47,47,True,True,8.881784197001252e-16,1.1102230246251565e-16,0.8714350384789498,0.8714350384789498,0.0,0,1.1102230246251565e-16,0.0,0.0,True
3407,/home/linruixin/chen/project/DMEA-HT/runs/dema_ht_c27_vtme_multiseed/checkpoints/seed_3407_best.pt,13,94,47,47,True,True,4.440892098500626e-16,1.1102230246251565e-16,0.8736985061113627,0.8736985061113627,0.0,0,8.326672684688674e-17,0.0,0.0,True
