seed,variant,patient_count,selected_structure_shortcut_auc,max_abs_prediction_selected_structure_spearman,prediction_spearman_selected_n_visits_audit_only,prediction_spearman_used_images_audit_only,prediction_spearman_image_padding_count_audit_only,prediction_spearman_has_bio_audit_only,prediction_spearman_bio_missing_count_audit_only,prediction_spearman_report_length_audit_only,prediction_spearman_reconstructable_visit_count_audit_only,prediction_spearman_visit_report_coverage_audit_only,prediction_spearman_dated_bio_visit_count_audit_only,raw_n_visits_audit_only_orientation_invariant_label_auc_warning,raw_n_images_audit_only_orientation_invariant_label_auc_warning
0,V0_official,94,0.32775011317338165,0.13841685469410417,-0.08593440828992707,-0.08593440828992707,-0.008584988471821275,0.0,-0.04330461172336969,-0.13841685469410417,-0.08593440828992707,0.0,-0.08593440828992707,0.9769126301493889,0.9418288818469895
0,V1_uniform,94,0.32775011317338165,0.26635021131110503,-0.22510345002739313,-0.22510345002739313,-0.10236068521612131,0.0,-0.017642619591002464,-0.26635021131110503,-0.22510345002739313,0.0,-0.22510345002739313,0.9769126301493889,0.9418288818469895
0,V2_recency_only,94,0.32775011317338165,0.2243800939231704,-0.17729877919129652,-0.17729877919129652,-0.0786303331696976,0.0,0.012830996066183608,-0.2243800939231704,-0.17729877919129652,0.0,-0.17729877919129652,0.9769126301493889,0.9418288818469895
0,V3_content_only,94,0.32775011317338165,0.1804664472569858,-0.12862411434563178,-0.12862411434563178,-0.013136444882841693,0.0,-0.08340147443019347,-0.1804664472569858,-0.12862411434563178,0.0,-0.12862411434563178,0.9769126301493889,0.9418288818469895
0,V4_latest_only,94,0.32775011317338165,0.08396942182004043,0.08396942182004043,0.08396942182004043,-0.04614235120137943,0.0,0.06094723131437215,0.02280215019389251,0.08396942182004043,0.0,0.08396942182004043,0.9769126301493889,0.9418288818469895
0,V5_history_mean_only,62,0.32775011317338165,0.24947116264654826,-0.12369166602178946,-0.12369166602178946,-0.006105491568437681,0.0,-0.24947116264654826,-0.2293096284539811,-0.12369166602178946,0.0,-0.12369166602178946,0.9769126301493889,0.9418288818469895
42,V0_official,94,0.32775011317338165,0.19155684667004821,-0.12238415731148802,-0.12238415731148802,-0.08272664393961598,0.0,-0.11066734107083365,-0.19155684667004821,-0.12238415731148802,0.0,-0.12238415731148802,0.9769126301493889,0.9418288818469895
42,V1_uniform,94,0.32775011317338165,0.29887723291215196,-0.2246534531258924,-0.2246534531258924,-0.10517003244913047,0.0,-0.11387509008737955,-0.29887723291215196,-0.2246534531258924,0.0,-0.2246534531258924,0.9769126301493889,0.9418288818469895
42,V2_recency_only,94,0.32775011317338165,0.23048523236228297,-0.15907390468051605,-0.15907390468051605,-0.10948606870096017,0.0,-0.04651236073991559,-0.23048523236228297,-0.15907390468051605,0.0,-0.15907390468051605,0.9769126301493889,0.9418288818469895
42,V3_content_only,94,0.32775011317338165,0.24067250478731095,-0.16237388195818822,-0.16237388195818822,-0.07892853203800583,0.0,-0.17001069787693285,-0.24067250478731095,-0.16237388195818822,0.0,-0.16237388195818822,0.9769126301493889,0.9418288818469895
42,V4_latest_only,94,0.32775011317338165,0.07720211753727396,0.040064724130283676,0.040064724130283676,-0.07720211753727396,0.0,0.03207749016545903,-0.03124819378599021,0.040064724130283676,0.0,0.040064724130283676,0.9769126301493889,0.9418288818469895
42,V5_history_mean_only,62,0.32775011317338165,0.33809697689689766,-0.21041493186146107,-0.21041493186146107,-0.04410691322716187,0.0,-0.2934954854665273,-0.33809697689689766,-0.21041493186146107,0.0,-0.21041493186146107,0.9769126301493889,0.9418288818469895
3407,V0_official,94,0.32775011317338165,0.15715132093388975,-0.09724433041431264,-0.09724433041431264,-0.02440522316943708,0.0,0.02405811762409427,-0.15715132093388975,-0.09724433041431264,0.0,-0.09724433041431264,0.9769126301493889,0.9418288818469895
3407,V1_uniform,94,0.32775011317338165,0.2788783888891182,-0.21694350621351283,-0.21694350621351283,-0.07145786565302059,0.0,-0.004811623524818854,-0.2788783888891182,-0.21694350621351283,0.0,-0.21694350621351283,0.9769126301493889,0.9418288818469895
3407,V2_recency_only,94,0.32775011317338165,0.2416262068866753,-0.17795877464683096,-0.17795877464683096,-0.0578348857745181,0.0,0.04490848623164264,-0.2416262068866753,-0.17795877464683096,0.0,-0.17795877464683096,0.9769126301493889,0.9418288818469895
3407,V3_content_only,94,0.32775011317338165,0.20005346537347582,-0.13982903719300055,-0.13982903719300055,-0.029976833603617248,0.0,-0.020850368607548367,-0.20005346537347582,-0.13982903719300055,0.0,-0.13982903719300055,0.9769126301493889,0.9418288818469895
3407,V4_latest_only,94,0.32775011317338165,0.10264796852946886,0.053969628386656934,0.053969628386656934,-0.03862460078455605,0.0,0.10264796852946886,-0.024138778136183422,0.053969628386656934,0.0,0.053969628386656934,0.9769126301493889,0.9418288818469895
3407,V5_history_mean_only,62,0.32775011317338165,0.2824894047615326,-0.18238100755548453,-0.18238100755548453,-0.018316474705313043,0.0,-0.2824894047615326,-0.27844021104938155,-0.18238100755548453,0.0,-0.18238100755548453,0.9769126301493889,0.9418288818469895
