split,label,n,n_filtered,filtered_rate,mean_original_report_length,mean_filtered_report_length,mean_report_length_delta,median_report_length_delta,morphology_label_changed_rate,negative_label_changed_rate,image_weak_label_changed_rate
test,0,42,5,0.11904761904761904,365.3095238095238,350.4047619047619,-14.904761904761905,-2.0,0.07142857142857142,0.0,0.07142857142857142
test,1,42,3,0.07142857142857142,357.85714285714283,347.3809523809524,-10.476190476190476,-2.0,0.023809523809523808,0.0,0.023809523809523808
train,0,301,16,0.053156146179401995,552.9933554817276,543.6943521594684,-9.299003322259136,-3.0,0.026578073089700997,0.0,0.026578073089700997
train,1,301,16,0.053156146179401995,547.7508305647841,538.358803986711,-9.39202657807309,-3.0,0.016611295681063124,0.0,0.016611295681063124
val,0,47,4,0.0851063829787234,571.5957446808511,557.1914893617021,-14.404255319148936,-3.0,0.0425531914893617,0.0,0.0425531914893617
val,1,47,0,0.0,525.9574468085107,522.2765957446809,-3.6808510638297873,-2.0,0.0,0.0,0.0
